date,FB,GOOGL,AMZN,DELL,IBM,INTC,AAPL,MSFT,CSCO,ORCL,NVDA,VMW,HPQ,AMD,TSM,TXN,QCOM
2016-05-24,117.7,733.03,704.2,,132.6613,28.8405,93.5304,48.7582,26.0175,38.2068,44.8619,49.968,10.905,4.2,22.3614,55.9801,49.5669
2016-05-25,117.89,738.1,708.35,,135.6846,29.1469,95.1737,49.2591,26.4288,38.427,44.674,49.8767,11.1706,4.18,22.4985,56.3062,49.9146
2016-05-26,119.47,736.93,714.91,,136.3555,29.2398,95.9284,49.0418,26.4105,38.2546,45.1487,49.3201,11.9397,4.35,22.6539,56.6136,49.7006
2016-05-27,119.38,747.6,712.24,,136.7133,29.3141,95.8711,49.4482,26.4288,38.3696,45.3959,49.5361,12.0587,4.6,22.663,56.8465,49.7546
2016-05-31,118.81,748.85,722.79,,137.5183,29.3326,95.403,50.0908,26.5476,38.494,46.2069,50.3086,12.251,4.57,22.5899,56.4552,49.4395
2016-06-01,118.78,748.46,719.44,,136.4181,29.3976,94.0654,49.9491,26.4105,38.5515,46.296,51.0978,12.3059,4.43,23.0742,56.8931,49.3225
2016-06-02,118.93,744.27,728.24,,137.3037,29.4905,93.3585,49.5994,26.575,37.0194,46.6223,51.5215,12.3975,4.24,23.0103,56.6043,49.4035
2016-06-03,118.47,735.86,725.54,,136.758,29.3605,93.5496,48.9472,26.6207,37.4407,45.9696,51.5713,12.3059,4.16,23.3301,56.39,49.4575
2016-06-06,118.79,730.06,726.73,,136.6149,29.4162,94.2279,49.2686,26.5933,37.7663,45.7322,51.9618,12.5165,4.47,23.2753,57.0981,49.4125
2016-06-07,117.76,731.09,723.74,,137.1516,29.6019,94.61,49.2402,26.5659,37.4695,45.8212,53.1497,12.5349,4.51,23.8144,57.3496,49.3675
2016-06-08,118.39,742.93,726.64,,137.7509,29.6112,94.524,49.1835,26.6298,37.6131,45.6729,53.3159,12.6997,4.46,24.0612,57.834,49.4575
2016-06-09,118.56,742.52,727.65,,137.2321,29.6576,95.2023,48.7866,26.6298,37.3928,46.8597,53.1663,12.6722,4.52,23.9698,57.8899,49.4935
2016-06-10,116.62,733.19,717.91,,136.2929,29.7505,94.4189,48.6543,26.5293,37.096,45.6927,52.5101,12.3619,4.32,23.6317,57.6757,48.4583
2016-06-13,113.95,731.88,715.24,,135.3179,29.8712,92.9954,47.3878,26.3557,36.9811,46.2762,52.1612,12.0422,4.4,23.4215,57.3216,47.5581
2016-06-14,114.94,733.25,719.3,,135.1211,29.8433,93.1101,47.0948,26.4653,37.1822,46.3652,51.1061,12.0607,4.39,23.3667,57.6663,47.4411
2016-06-15,114.6,732.19,714.26,,134.7812,29.3512,92.8044,46.9625,26.182,36.8087,46.8399,51.0397,12.0145,4.42,23.6134,57.4707,47.9632
2016-06-16,114.39,724.25,717.51,,135.1211,29.4255,93.1961,47.6241,26.3831,37.0002,47.0278,50.7323,11.996,4.75,23.6317,57.8154,48.0892
2016-06-17,113.02,704.25,706.39,,135.953,29.4905,91.0752,47.3784,26.4562,37.9961,46.2069,50.0677,12.1254,5.26,23.6225,57.4055,48.2062
2016-06-20,113.37,706.13,714.01,,137.4021,29.8712,90.8554,47.3217,26.3191,38.044,47.0377,50.4831,12.0791,5.1,24.0977,57.7688,48.5123
2016-06-21,114.38,708.88,715.82,,137.7956,30.0105,91.6293,48.3802,26.2917,38.293,46.7509,50.6576,12.3194,5.45,24.2988,57.7968,48.5033
2016-06-22,113.91,710.47,710.6,,136.7849,29.9826,91.2853,48.1912,26.246,38.3121,46.7113,50.4997,11.654,5.02,24.2531,57.8154,48.6473
2016-06-23,115.08,714.87,722.08,,138.9585,30.6326,91.8108,49.0607,26.7029,39.0973,47.9575,51.6295,11.9682,5.21,24.4998,58.9706,50.0067
2016-06-24,112.08,685.2,698.96,,131.1228,29.2955,89.2313,47.0948,25.3596,37.5652,45.2278,48.6306,11.3306,4.88,23.2922,56.3994,46.9189
2016-06-27,108.97,681.14,691.36,,128.3588,28.5248,87.932,45.7717,24.9575,36.847,44.7432,45.9723,10.6744,4.72,23.4407,55.0299,46.0367
2016-06-28,112.7,691.26,707.95,,130.3267,28.9612,89.4128,46.7262,25.3961,37.4695,45.3959,46.7698,10.8962,5.12,23.7796,56.1478,47.27
2016-06-29,114.16,695.19,715.6,,132.7955,29.6483,90.1867,47.7659,25.8256,38.8292,46.1377,47.1021,11.2566,5.13,24.2879,57.0608,48.2062
2016-06-30,114.28,703.53,715.62,,135.7651,30.4562,91.3331,48.3613,26.2186,39.1936,46.4938,47.534,11.5986,5.14,24.6928,58.365,48.2242
2016-07-01,114.19,710.25,725.68,,136.275,30.4097,91.6102,48.3518,26.3191,39.2705,46.1476,48.1903,11.7649,5.07,24.9752,57.862,47.7111
2016-07-05,114.0,704.89,728.1,,135.6757,30.3448,90.7503,48.3613,26.1255,38.8284,46.83,47.0107,11.423,4.96,24.721,57.0608,46.7569
2016-07-06,116.7,708.97,737.61,,136.2929,30.614,91.2662,48.5597,26.4851,38.9533,47.1267,47.6005,11.6448,5.04,24.6174,56.8838,47.144
2016-07-07,115.85,707.26,736.57,,136.4986,30.8276,91.6579,48.5597,26.5036,38.9533,48.3531,48.1238,11.8758,5.02,24.7681,57.5452,47.6481
2016-07-08,117.24,717.78,745.81,,138.1624,31.5704,92.3649,49.4293,26.9831,39.2801,50.2916,49.1622,12.0884,5.1,25.1634,58.9426,48.7824
2016-07-11,117.87,727.2,753.78,,138.9406,31.9233,92.6515,49.7033,27.1399,39.1936,51.4487,49.4862,12.1623,5.01,25.6059,59.0637,48.7149
2016-07-12,117.93,732.51,748.21,,140.4701,32.4433,93.0719,50.2893,27.3059,39.8087,52.2202,50.7988,12.6799,5.14,25.3894,59.9767,49.1695
2016-07-13,116.78,729.48,742.63,,141.3467,32.5083,92.5464,50.5728,27.435,39.8471,52.2004,50.6409,12.763,5.09,25.3141,60.1258,49.3585
2016-07-14,117.29,735.8,741.2,,143.3683,32.6847,94.3807,50.7902,27.4442,40.049,52.7345,50.7074,12.7538,5.17,25.5212,60.3773,49.4035
2016-07-15,116.86,735.63,735.44,,142.921,32.564,94.3712,50.7524,27.4995,40.1451,52.1213,51.563,12.8,5.14,25.427,60.4146,49.2865
2016-07-18,119.37,753.2,736.07,,142.9926,32.5454,95.3743,50.9981,27.5825,40.0201,52.3883,51.9784,12.8832,5.51,26.0201,60.7313,49.8266
2016-07-19,120.61,753.41,739.95,,142.7421,32.6382,95.4125,50.1759,27.5917,39.4819,52.9323,56.6803,12.9848,5.41,25.6718,60.4984,49.6376
2016-07-20,121.92,757.08,745.72,,144.3343,33.1397,95.4985,52.8411,28.2465,39.6453,53.6246,58.1091,13.0865,5.41,25.9354,60.9735,50.2497
2016-07-21,120.61,754.41,744.43,,143.5203,31.8211,94.9922,52.7371,28.2004,39.4723,52.6356,58.7239,12.9386,5.22,25.8695,60.4705,53.9496
2016-07-22,121.0,759.28,744.86,,144.9694,32.1833,94.2565,53.4649,28.3203,39.4819,54.0696,59.4383,13.0403,5.84,26.1143,61.0108,55.0478
2016-07-25,121.63,757.52,739.61,,145.4882,32.2111,92.9954,53.6161,28.394,39.5588,55.0685,60.1943,13.0865,6.7,26.2272,61.6909,54.6697
2016-07-26,121.22,757.65,735.59,,145.0141,32.5825,92.3553,53.6444,28.477,39.3474,56.0081,60.377,13.105,6.98,26.6697,66.5352,55.2279
2016-07-27,123.34,761.97,736.67,,144.7547,32.3411,98.355,53.1057,28.3664,39.3377,55.4444,60.4518,12.9294,6.85,26.4532,66.3955,56.2721
